City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
32,wesselsbron,-27.8549,26.3658,24.89,42,89,2.33,ZA,2024-01-07
33,ta`u,-14.2336,-169.5144,28.51,76,37,4.88,AS,2024-01-07
34,choyr,46.3611,108.3611,-16.3,82,61,0.93,MN,2024-01-07
35,yellowknife,62.456,-114.3525,-33.73,76,20,2.06,CA,2024-01-07
36,luganville,-15.5333,167.1667,29.2,75,88,2.45,VU,2024-01-07
37,grytviken,-54.2811,-36.5092,3.73,91,28,6.21,GS,2024-01-07
38,saint-louis,16.3333,-15.0,17.8,11,0,4.21,SN,2024-01-07
39,hawaiian paradise park,19.5933,-154.9731,22.73,92,40,2.06,US,2024-01-07
40,port mathurin,-19.6833,63.4167,27.77,76,56,0.6,MU,2024-01-07
41,brady,31.1352,-99.3351,3.63,87,20,3.09,US,2024-01-07
42,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.34,PT,2024-01-07
43,invercargill,-46.4,168.35,17.79,71,74,3.58,NZ,2024-01-07
44,verdal,63.7933,11.4817,-13.98,92,82,1.56,NO,2024-01-07
45,barra do garcas,-15.89,-52.2567,22.36,95,22,0.94,BR,2024-01-07
46,aasiaat,68.7098,-52.8699,-11.25,83,100,1.44,GL,2024-01-07
47,severo-yeniseyskiy,60.3725,93.0408,-26.9,100,76,1.79,RU,2024-01-07
48,nuuk,64.1835,-51.7216,-3.66,68,100,6.71,GL,2024-01-07
49,olonkinbyen,70.9221,-8.7187,-4.96,81,100,5.03,SJ,2024-01-07
50,mount gambier,-37.8333,140.7667,22.31,84,100,1.89,AU,2024-01-07
51,adamstown,-25.066,-130.1015,22.63,73,100,6.76,PN,2024-01-07
52,thompson,55.7435,-97.8558,-20.91,77,100,2.57,CA,2024-01-07
53,prince rupert,54.3161,-130.3201,3.83,87,100,5.14,CA,2024-01-07
54,tazovsky,67.4667,78.7,-21.32,99,27,4.74,RU,2024-01-07
55,tosontsengel,48.7567,98.2839,-13.15,80,99,1.4,MN,2024-01-07
56,sirte,31.2089,16.5887,12.81,48,29,9.25,LY,2024-01-07
57,phalaborwa,-23.943,31.1411,24.8,56,2,1.46,ZA,2024-01-07
58,puerto natales,-51.7236,-72.4875,8.22,83,97,1.79,CL,2024-01-07
59,iqaluit,63.7506,-68.5145,-25.15,77,20,0.0,CA,2024-01-07
60,tidjikja,18.5564,-11.4271,17.88,16,0,4.85,MR,2024-01-07
61,egilsstadir,65.2653,-14.3948,-9.05,92,0,3.09,IS,2024-01-07
62,beacon square,28.2086,-82.7554,19.99,93,34,0.45,US,2024-01-07
63,longyearbyen,78.2186,15.6401,-17.09,71,75,4.12,SJ,2024-01-07
64,isafjordur,66.0755,-23.124,1.97,76,85,4.55,IS,2024-01-07
65,acarau,-2.8856,-40.12,26.64,81,57,4.94,BR,2024-01-07
66,port-cartier,50.0334,-66.8654,-16.18,79,6,3.18,CA,2024-01-07
67,nyurba,63.2842,118.3319,-29.75,96,100,2.15,RU,2024-01-07
68,west island,-12.1568,96.8225,26.99,89,75,4.12,CC,2024-01-07
69,porto novo,6.4965,2.6036,25.72,87,4,0.65,BJ,2024-01-07
70,fortuna,40.5982,-124.1573,5.37,94,75,0.0,US,2024-01-07
71,papatowai,-46.5619,169.4708,15.9,70,67,2.72,NZ,2024-01-07
72,luderitz,-26.6481,15.1594,18.2,72,24,6.38,NA,2024-01-07
73,shubarshi,48.5872,57.1869,1.95,96,100,6.11,KZ,2024-01-07
74,waitangi,-43.9535,-176.5597,15.46,83,47,1.79,NZ,2024-01-07
75,bandarbeyla,9.4942,50.8122,23.8,67,25,7.88,SO,2024-01-07
76,kendari,-3.945,122.4989,28.41,74,100,2.07,ID,2024-01-07
77,tofol,5.3248,163.0078,30.88,66,75,5.66,FM,2024-01-07
78,ji'an,27.1172,114.9793,15.28,45,92,1.81,CN,2024-01-07
79,kodiak,57.79,-152.4072,3.73,100,100,10.8,US,2024-01-07
80,al jahra',29.3375,47.6581,14.23,46,0,5.82,KW,2024-01-07
81,solnechnyy,50.7214,136.6319,-16.28,87,97,2.01,RU,2024-01-07
82,margaret river,-33.95,115.0667,25.66,54,57,6.06,AU,2024-01-07
83,las cruces,32.3123,-106.7783,5.02,40,0,3.09,US,2024-01-07
84,sandnessjoen,66.0217,12.6316,-7.71,85,100,7.38,NO,2024-01-07
85,lorengau,-2.0226,147.2712,28.65,76,96,1.2,PG,2024-01-07
86,kerikeri,-35.2268,173.9474,21.37,70,14,3.15,NZ,2024-01-07
87,tuy hoa,13.0833,109.3,24.86,79,94,4.83,VN,2024-01-07
88,yallahs,17.8748,-76.5624,27.85,85,16,4.38,JM,2024-01-07
89,rawson,-43.3002,-65.1023,16.26,78,2,3.06,AR,2024-01-07
90,paita,-5.0892,-81.1144,22.8,82,58,4.8,PE,2024-01-07
91,edinburgh of the seven seas,-37.0676,-12.3116,15.9,72,100,3.16,SH,2024-01-07
92,osilnica,45.5292,14.6989,8.62,100,100,2.51,HR,2024-01-07
93,cooma,-36.2333,149.1333,22.69,50,100,2.83,AU,2024-01-07
94,kapuskasing,49.4169,-82.4331,-12.95,78,100,4.12,CA,2024-01-07
95,maragogi,-9.0122,-35.2225,25.26,81,9,3.21,BR,2024-01-07
96,midvagur,62.0511,-7.1939,1.46,86,20,0.0,FO,2024-01-07
97,guane,22.2025,-84.0875,23.78,95,4,2.58,CU,2024-01-07
98,badger,64.8,-147.5333,-20.36,74,0,2.06,US,2024-01-07
99,albany,42.6001,-73.9662,-1.54,90,100,0.89,US,2024-01-07
100,bac lieu,9.285,105.7244,29.89,61,100,7.63,VN,2024-01-07
101,ilulissat,69.2167,-51.1,-8.99,73,40,3.09,GL,2024-01-07
102,constantia,44.1833,28.65,9.38,85,94,4.59,RO,2024-01-07
103,prosser,46.2068,-119.7689,4.54,78,52,3.13,US,2024-01-07
104,melchor de mencos,17.0686,-89.1522,22.0,100,40,0.0,GT,2024-01-07
105,klyuchi,52.2667,79.1667,-8.7,96,98,2.04,RU,2024-01-07
106,enterprise,36.0252,-115.2419,11.12,28,100,9.26,US,2024-01-07
107,namibe,-15.1961,12.1522,21.86,79,100,1.52,AO,2024-01-07
108,tarnogskiy gorodok,60.4997,43.5761,-27.88,99,39,2.01,RU,2024-01-07
109,arica,-18.475,-70.3042,21.13,73,0,2.06,CL,2024-01-07
110,shamakhi,40.6314,48.6414,3.02,71,2,2.02,AZ,2024-01-07
111,mina clavero,-31.721,-65.0062,20.55,94,61,1.32,AR,2024-01-07
